,cent,entropy
0,0,101.72402619146064
1,1,78.66591127503634
2,2,74.1821766566885
3,3,70.7861142921568
4,4,67.83447592780439
5,5,65.19939760353607
6,6,62.75378763843852
7,7,60.505836711306586
8,8,58.225305891296166
9,9,56.14863595570886
10,10,54.212467945467054
11,11,52.20492883867032
12,12,50.242406694443034
13,13,48.386112865717166
14,14,46.67724646716309
15,15,45.076952394423515
16,16,43.50931849885221
17,17,41.961927117811875
18,18,40.46529011298744
19,19,38.991163008831535
20,20,37.60205487723452
21,21,36.22343317525858
22,22,34.86251847713825
23,23,33.600827962849
24,24,32.39760056925493
25,25,31.26522829534068
26,26,30.0644857317895
27,27,28.95284695511108
28,28,27.87008407285461
29,29,26.77451762409594
30,30,25.769286820127835
31,31,24.783408997240244
32,32,23.86835231870855
33,33,22.970583601351336
34,34,22.103211197862883
35,35,21.211057714689044
36,36,20.321477056360465
37,37,19.51676595120576
38,38,18.679269907011673
39,39,17.904381187476016
40,40,17.163841803195503
41,41,16.41235207955483
42,42,15.745047420298599
43,43,15.05284294911863
44,44,14.439993294432815
45,45,13.788731007091055
46,46,13.15903742587227
47,47,12.539656983747475
48,48,11.98222776708947
49,49,11.423955940172702
50,50,10.887017675815645
51,51,10.34494433609139
52,52,9.825032191142943
53,53,9.344173694752659
54,54,8.889488861920455
55,55,8.393761753962446
56,56,7.953165707188989
57,57,7.534741233560473
58,58,7.160425465938048
59,59,6.791843416111748
60,60,6.405688938797096
61,61,6.038447783481684
62,62,5.67812193005311
63,63,5.32869823650412
64,64,5.006479027764023
65,65,4.68441108926043
66,66,4.381783366495959
67,67,4.104429595185535
68,68,3.8323723255787105
69,69,3.591756413621405
70,70,3.358955834907403
71,71,3.1318353147248774
72,72,2.916095651286417
73,73,2.7071321246359457
74,74,2.507235843360161
75,75,2.3107298877848863
76,76,2.1322498101698595
77,77,1.968453494517805
78,78,1.8110137754616014
79,79,1.6596829799617054
80,80,1.5139176554599891
81,81,1.3795343996844582
82,82,1.2510996401192513
83,83,1.1275227001850385
84,84,1.0185740288476826
85,85,0.9124234260408456
86,86,0.8166860616147209
87,87,0.7281280766709312
88,88,0.6460645188914386
89,89,0.5668506789373431
90,90,0.4923439721632081
91,91,0.4246809643877883
92,92,0.36168458774669826
93,93,0.3039079103291043
94,94,0.2500976597494116
95,95,0.20002524699050178
96,96,0.1538072974924114
97,97,0.1127014540924254
98,98,0.07587967544567299
99,99,0.040792436716927866
100,100,0.00030764416330439993
